turn,execution,tmig,batteryenergy,temp1,temp2,mig,core,dtime,latency
0,0,0,27958,35,32,0,1,44,2
0,0,0,27958,35,32,0,1,44,3
0,0,0,27958,35,32,0,1,44,4
0,0,0,27959,35,32,0,1,43,0
0,0,0,27959,35,32,0,1,43,1
0,0,0,27959,35,32,0,1,43,2
0,0,0,27959,35,32,0,1,43,3
0,0,0,27959,35,32,0,1,43,4
0,0,0,27965,32,44,0,2,50,0
0,0,0,27965,32,44,0,2,50,2
0,0,0,27965,32,44,0,2,50,3
0,0,0,27965,32,44,0,2,50,4
0,0,0,27970,32,44,0,2,49,0
0,0,0,27970,32,44,0,2,49,2
0,0,0,27970,32,44,0,2,49,3
0,0,0,27970,32,44,0,2,49,4
0,0,0,27973,35,32,0,1,50,0
0,0,0,27973,35,32,0,1,50,1
0,0,0,27973,35,32,0,1,50,2
0,0,0,27973,35,32,0,1,50,3
0,0,0,27973,35,32,0,1,50,4
0,0,0,27974,35,32,0,1,49,0
0,0,0,27974,35,32,0,1,49,1
0,0,0,27974,35,32,0,1,49,2
0,0,0,27974,35,32,0,1,49,3
0,0,0,27974,35,32,0,1,49,4
0,0,0,27975,32,44,0,2,48,0
0,0,0,27975,32,44,0,2,48,2
0,0,0,27975,32,44,0,2,48,3
0,0,0,27975,32,44,0,2,48,4
0,0,0,27977,32,44,0,2,50,0
0,0,0,27977,32,44,0,2,50,2
0,0,0,27977,32,44,0,2,50,3
0,0,0,27977,32,44,0,2,50,4
0,0,0,27980,32,44,0,2,47,0
0,0,0,27980,32,44,0,2,47,2
0,0,0,27980,32,44,0,2,47,3
0,0,0,27980,32,44,0,2,47,4
0,0,0,27982,32,44,0,2,49,0
0,0,0,27982,32,44,0,2,49,2
0,0,0,27982,32,44,0,2,49,3
0,0,0,27982,32,44,0,2,49,4
0,0,0,27985,32,44,0,2,46,0
0,0,0,27985,32,44,0,2,46,2
0,0,0,27985,32,44,0,2,46,3
0,0,0,27985,32,44,0,2,46,4
0,0,0,27985,35,32,0,1,50,0
0,0,0,27985,35,32,0,1,50,1
0,0,0,27985,35,32,0,1,50,2
0,0,0,27985,35,32,0,1,50,3
0,0,0,27985,35,32,0,1,50,4
0,0,0,27986,35,32,0,1,49,0
0,0,0,27986,35,32,0,1,49,1
0,0,0,27986,35,32,0,1,49,2
0,0,0,27986,35,32,0,1,49,3
0,0,0,27986,35,32,0,1,49,4
0,0,0,27987,32,44,0,2,48,0
0,0,0,27987,32,44,0,2,48,2
0,0,0,27987,32,44,0,2,48,3
0,0,0,27987,32,44,0,2,48,4
0,0,0,27987,35,32,0,1,48,0
0,0,0,27987,35,32,0,1,48,1
0,0,0,27987,35,32,0,1,48,2
0,0,0,27987,35,32,0,1,48,3
0,0,0,27987,35,32,0,1,48,4
0,0,0,27988,35,32,0,1,47,0
0,0,0,27988,35,32,0,1,47,1
0,0,0,27988,35,32,0,1,47,2
0,0,0,27988,35,32,0,1,47,3
0,0,0,27988,35,32,0,1,47,4
0,0,0,27989,32,44,0,2,50,0
0,0,0,27989,32,44,0,2,50,2
0,0,0,27989,32,44,0,2,50,3
0,0,0,27989,32,44,0,2,50,4
0,0,0,27989,35,32,0,1,46,0
0,0,0,27989,35,32,0,1,46,1
0,0,0,27989,35,32,0,1,46,2
0,0,0,27989,35,32,0,1,46,3
0,0,0,27989,35,32,0,1,46,4
0,0,0,27990,32,44,0,2,45,0
0,0,0,27990,32,44,0,2,45,2
0,0,0,27990,32,44,0,2,45,3
0,0,0,27990,32,44,0,2,45,4
0,0,0,27992,32,44,0,2,47,0
0,0,0,27992,32,44,0,2,47,2
0,0,0,27992,32,44,0,2,47,3
0,0,0,27992,32,44,0,2,47,4
0,0,0,27994,32,44,0,2,49,0
0,0,0,27994,32,44,0,2,49,2
0,0,0,27994,32,44,0,2,49,3
0,0,0,27994,32,44,0,2,49,4
0,0,0,27995,32,44,0,2,44,0
0,0,0,27995,32,44,0,2,44,2
